datetime,close,realized_volatility
2023-01-03,77.19,0.03267261081798794
2023-01-04,73.16,0.02816552530180076
2023-01-05,73.695,0.027776304849279506
2023-01-06,73.66,0.033946639017468604
2023-01-09,74.77,0.025517952709372686
2023-01-10,74.995,0.019737337355269672
2023-01-11,77.57,0.018541437840084996
2023-01-12,78.22,0.022459204651432963
2023-01-13,79.93,0.01376438437808267
2023-01-16,78.855,0.012398781269973314
2023-01-17,81.0,0.018109968569743114
2023-01-18,79.27,0.02097396533780614
2023-01-19,80.45,0.021991093082861114
2023-01-20,81.56,0.018060894997964105
2023-01-23,81.39,0.017494167703367838
2023-01-24,79.86,0.01632903966039456
2023-01-25,80.33,0.021740151863755088
2023-01-26,80.87,0.017537096152263832
2023-01-27,79.21,0.02283287162309183
2023-01-30,77.58,0.023216972442657788
2023-01-31,78.9,0.01924333406757386
2023-02-01,76.645,0.023387893107511767
2023-02-02,75.65,0.02626833068401143
2023-02-03,73.055,0.037185711585776667
2023-02-06,74.275,0.023335673512442336
2023-02-07,77.18,0.021704311341918723
2023-02-08,78.33,0.014931055270168872
2023-02-09,77.53,0.020018831356946556
2023-02-10,79.745,0.027308861913752123
2023-02-13,79.245,0.02286304727252432
2023-02-14,79.11,0.02298329456504982
2023-02-15,78.6,0.021514017688712424
2023-02-16,77.985,0.016578138807507407
2023-02-17,76.23,0.01840783130345072
2023-02-20,77.12,0.01245710560693536
2023-02-21,75.84,0.020659268490755472
2023-02-22,73.64,0.015657612701400047
2023-02-23,75.32,0.016339073363122705
2023-02-24,76.37,0.022761028484190423
2023-02-27,75.47,0.024159514466399887
2023-02-28,76.65,0.01858174164625397
2023-03-01,77.57,0.022457443224396512
2023-03-02,77.795,0.014500134813149594
2023-03-03,79.62,0.025378920349567943
2023-03-06,80.46,0.018390930377975095
2023-03-07,77.26,0.02007833690771161
2023-03-08,76.365,0.013437257429260654
2023-03-09,75.425,0.020827352884491397
2023-03-10,76.455,0.021301685396286334
2023-03-13,74.615,0.04102509041050325
2023-03-14,71.41,0.034389847880668976
2023-03-15,68.185,0.04600533106786904
2023-03-16,68.19,0.04808665446672621
2023-03-17,66.295,0.0339754457838659
2023-03-20,67.605,0.0420251376010419
2023-03-21,69.315,0.028395614076887985
2023-03-22,69.735,0.025000563618842776
2023-03-23,69.295,0.018864015303110965
2023-03-24,69.075,0.036626167168883714
2023-03-27,72.72,0.019005408763874944
2023-03-28,73.445,0.0181441222033361
2023-03-29,72.675,0.01644209816617149
2023-03-30,74.225,0.014004141468180287
